Year,Week,VHI,Province_ID,Province_Name
1991,5,39.52,21,Хмельницька
1991,6,38.14,21,Хмельницька
1991,7,37.38,21,Хмельницька
1991,8,37.89,21,Хмельницька
1991,9,39.04,21,Хмельницька
1991,10,37.43,21,Хмельницька
1991,11,33.8,21,Хмельницька
1991,12,32.04,21,Хмельницька
1991,13,30.82,21,Хмельницька
1991,14,31.01,21,Хмельницька
1991,15,33.48,21,Хмельницька
1991,16,37.19,21,Хмельницька
1991,17,43.86,21,Хмельницька
1991,18,49.1,21,Хмельницька
1991,19,51.47,21,Хмельницька
1991,20,54.15,21,Хмельницька
1991,21,55.52,21,Хмельницька
1991,22,56.15,21,Хмельницька
1991,23,56.42,21,Хмельницька
1991,24,55.11,21,Хмельницька
1991,25,55.56,21,Хмельницька
1991,26,56.18,21,Хмельницька
1991,27,58.7,21,Хмельницька
1991,28,60.56,21,Хмельницька
1991,29,60.31,21,Хмельницька
1991,30,60.17,21,Хмельницька
1991,31,59.1,21,Хмельницька
1991,32,58.69,21,Хмельницька
1991,33,58.96,21,Хмельницька
1991,34,58.69,21,Хмельницька
1991,35,57.7,21,Хмельницька
1991,36,56.52,21,Хмельницька
1991,37,55.23,21,Хмельницька
1991,38,52.64,21,Хмельницька
1991,39,50.17,21,Хмельницька
1991,40,49.14,21,Хмельницька
1991,41,46.99,21,Хмельницька
1991,42,48.35,21,Хмельницька
1991,43,49.4,21,Хмельницька
1991,44,45.39,21,Хмельницька
1991,45,41.29,21,Хмельницька
1991,46,36.91,21,Хмельницька
1991,47,35.66,21,Хмельницька
1991,48,35.11,21,Хмельницька
1991,49,34.0,21,Хмельницька
1991,50,33.37,21,Хмельницька
1991,51,33.05,21,Хмельницька
1991,52,32.78,21,Хмельницька
1992,1,33.01,21,Хмельницька
1992,2,33.64,21,Хмельницька
1992,3,35.3,21,Хмельницька
1992,4,35.71,21,Хмельницька
1992,5,36.42,21,Хмельницька
1992,6,36.48,21,Хмельницька
1992,7,35.85,21,Хмельницька
1992,8,36.21,21,Хмельницька
1992,9,36.64,21,Хмельницька
1992,10,35.82,21,Хмельницька
1992,11,34.12,21,Хмельницька
1992,12,35.91,21,Хмельницька
1992,13,38.25,21,Хмельницька
1992,14,40.63,21,Хмельницька
1992,15,45.37,21,Хмельницька
1992,16,49.54,21,Хмельницька
1992,17,50.8,21,Хмельницька
1992,18,51.11,21,Хмельницька
1992,19,49.85,21,Хмельницька
1992,20,49.12,21,Хмельницька
1992,21,47.77,21,Хмельницька
1992,22,46.24,21,Хмельницька
1992,23,45.62,21,Хмельницька
1992,24,46.14,21,Хмельницька
1992,25,47.74,21,Хмельницька
1992,26,48.39,21,Хмельницька
1992,27,47.31,21,Хмельницька
1992,28,45.28,21,Хмельницька
1992,29,42.38,21,Хмельницька
1992,30,38.94,21,Хмельницька
1992,31,35.51,21,Хмельницька
1992,32,33.95,21,Хмельницька
1992,33,33.12,21,Хмельницька
1992,34,34.42,21,Хмельницька
1992,35,37.96,21,Хмельницька
1992,36,40.57,21,Хмельницька
1992,37,43.36,21,Хмельницька
1992,38,44.94,21,Хмельницька
1992,39,46.67,21,Хмельницька
1992,40,48.88,21,Хмельницька
1992,41,47.89,21,Хмельницька
1992,42,47.44,21,Хмельницька
1992,43,44.4,21,Хмельницька
1992,44,36.41,21,Хмельницька
1992,45,32.85,21,Хмельницька
1992,46,32.39,21,Хмельницька
1992,47,33.58,21,Хмельницька
1992,48,35.99,21,Хмельницька
1992,49,37.14,21,Хмельницька
1992,50,36.48,21,Хмельницька
1992,51,35.16,21,Хмельницька
1992,52,35.13,21,Хмельницька
1993,1,34.92,21,Хмельницька
1993,2,35.72,21,Хмельницька
1993,3,35.8,21,Хмельницька
1993,4,37.19,21,Хмельницька
1993,5,37.78,21,Хмельницька
1993,6,38.38,21,Хмельницька
1993,7,38.73,21,Хмельницька
1993,8,39.25,21,Хмельницька
1993,9,40.87,21,Хмельницька
1993,10,41.04,21,Хмельницька
1993,11,39.17,21,Хмельницька
1993,12,40.06,21,Хмельницька
1993,13,41.31,21,Хмельницька
1993,14,44.68,21,Хмельницька
1993,15,47.94,21,Хмельницька
1993,16,48.36,21,Хмельницька
1993,17,43.93,21,Хмельницька
1993,18,41.44,21,Хмельницька
1993,19,43.44,21,Хмельницька
1993,20,46.49,21,Хмельницька
1993,21,47.73,21,Хмельницька
1993,22,48.42,21,Хмельницька
1993,23,49.21,21,Хмельницька
1993,24,52.21,21,Хмельницька
1993,25,55.67,21,Хмельницька
1993,26,57.49,21,Хмельницька
1993,27,59.53,21,Хмельницька
1993,28,62.05,21,Хмельницька
1993,29,64.18,21,Хмельницька
1993,30,63.4,21,Хмельницька
1993,31,64.14,21,Хмельницька
1993,32,65.86,21,Хмельницька
1993,33,64.96,21,Хмельницька
1993,34,63.49,21,Хмельницька
1993,35,62.18,21,Хмельницька
1993,36,60.3,21,Хмельницька
1993,37,57.04,21,Хмельницька
1993,38,54.08,21,Хмельницька
1993,39,51.18,21,Хмельницька
1993,40,48.09,21,Хмельницька
1993,41,43.82,21,Хмельницька
1993,42,42.97,21,Хмельницька
1993,43,43.01,21,Хмельницька
1993,44,41.6,21,Хмельницька
1993,45,37.57,21,Хмельницька
1993,46,32.88,21,Хмельницька
1993,47,28.17,21,Хмельницька
1993,48,24.92,21,Хмельницька
1993,49,22.51,21,Хмельницька
1993,50,20.31,21,Хмельницька
